epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4516,1.17147,2.57741,2.90944,1.17179,0.01267,1,0.64498,0.43631,0.00933,0.73684,0.45186,0.15547,0.76879,1.37423,2.52883,1.06196,0.00014,0.00014,0.00014
2,19.5465,0.81284,1.3158,2.33654,0.9751,0.01267,1,0.84437,0.56454,0.01133,0.89474,0.65967,0.25856,0.72709,1.37025,2.43091,1.01332,0.00029703,0.00029703,0.00029703
3,23.1344,0.82971,1.01746,1.77091,0.96201,0.01267,1,0.79958,0.61142,0.01133,0.89474,0.7749,0.34864,0.7643,1.25864,2.35263,1.02304,0.000450892,0.000450892,0.000450892
4,26.5801,0.83453,0.9755,1.37902,0.97185,0.01267,1,0.90501,0.58083,0.01,0.78947,0.47807,0.14097,0.84533,1.5885,2.2553,1.04305,0.000601586,0.000601586,0.000601586
5,30.07,0.80838,0.92375,1.104,0.9842,1,0.68132,0.92388,0.67129,0.55048,0.36842,0.43915,0.12042,0.85891,1.82649,2.01992,1.13129,0.000749112,0.000749112,0.000749112
6,34.9393,0.81276,0.9157,0.99325,0.9694,1,0.6139,0.93903,0.64912,0.48919,0.30328,0.23636,0.06189,1.03779,2.35249,1.999,1.17292,0.00089347,0.00089347,0.00089347
7,38.172,0.82412,0.94788,0.97377,0.97352,0.87664,0.74861,0.869,0.58674,0.81152,0.68009,0.75927,0.37742,0.98504,1.17002,1.85776,1.15317,0.00103466,0.00103466,0.00103466
8,41.418,0.86773,0.92422,0.96684,0.97803,0.78076,0.75025,0.83894,0.56934,0.47078,0.46845,0.3725,0.1753,0.88039,2.34772,1.80148,1.09284,0.00117268,0.00117268,0.00117268
9,44.8336,0.84996,0.90238,0.98668,0.97176,0.93641,0.77569,0.92917,0.70893,0.93641,0.77569,0.92887,0.36927,0.79313,1.20231,1.45084,1.00994,0.00130754,0.00130754,0.00130754
10,49.8629,0.82489,0.94951,0.91588,0.96719,0.96846,0.78947,0.92265,0.65696,0.94045,0.83168,0.90962,0.47981,0.95064,1.29117,1.39046,1.13979,0.00143922,0.00143922,0.00143922
11,53.1303,0.81509,0.99308,0.92591,0.97707,0.92992,0.69908,0.88787,0.61136,0.89149,0.57895,0.74088,0.37173,1.01411,1.1623,1.38014,1.28764,0.00156774,0.00156774,0.00156774
12,56.2683,0.84537,0.92727,0.94596,0.97394,0.93663,0.77844,0.88805,0.63791,0.8734,0.72671,0.83648,0.42767,0.88313,1.09719,1.33688,1.09259,0.00169309,0.00169309,0.00169309
13,60.665,0.82524,0.88533,0.86011,0.96041,0.93539,0.89474,0.92306,0.62808,0.83009,0.78947,0.80906,0.45996,1.08808,0.94605,1.3778,1.18255,0.0017624,0.0017624,0.0017624
14,64.749,0.79153,0.84549,0.83192,0.94614,0.97826,0.68421,0.84396,0.53552,0.96921,0.63158,0.75421,0.3871,1.1428,1.10689,1.5143,1.22724,0.0017426,0.0017426,0.0017426
15,67.8877,0.81961,0.78275,0.84631,0.94214,0.94792,0.73684,0.86173,0.62613,0.8125,0.63158,0.72268,0.36552,0.92511,0.93534,1.33423,1.20118,0.0017228,0.0017228,0.0017228
16,71.2128,0.80037,0.82001,0.82458,0.94881,0.84564,0.86567,0.91801,0.69059,0.89852,0.9326,0.93908,0.55945,0.81182,0.81676,1.08024,1.04053,0.001703,0.001703,0.001703
17,75.5117,0.77183,0.82024,0.81782,0.95076,0.9205,0.84211,0.96667,0.7301,0.9205,0.84211,0.96667,0.59031,0.88763,0.82005,1.08346,1.08518,0.0016832,0.0016832,0.0016832
18,79.4478,0.74043,0.81356,0.75598,0.93507,0.89944,0.94737,0.97187,0.72918,0.90627,0.89474,0.92181,0.58787,0.87823,0.86761,0.97277,1.09224,0.0016634,0.0016634,0.0016634
19,82.8166,0.7633,0.79319,0.7756,0.93987,0.93043,0.94737,0.97176,0.78215,0.93043,0.94737,0.97176,0.52328,0.77148,1.07016,0.87553,1.01106,0.0016436,0.0016436,0.0016436
20,86.2955,0.71627,0.76934,0.72855,0.92295,0.88213,0.94737,0.96423,0.74623,0.83312,0.89474,0.93001,0.56924,0.84757,0.86515,0.96483,0.98157,0.0016238,0.0016238,0.0016238
21,90.7774,0.73592,0.77603,0.73315,0.93605,0.7917,0.80059,0.91709,0.74628,0.84377,0.85322,0.91945,0.55163,0.72776,1.07531,1.09787,0.97947,0.001604,0.001604,0.001604
22,94.5694,0.74325,0.78116,0.73755,0.93864,0.88429,0.89474,0.94961,0.75157,0.83227,0.84211,0.88987,0.56181,0.74165,0.91127,0.86233,0.96348,0.0015842,0.0015842,0.0015842
23,97.7392,0.71825,0.73754,0.72057,0.9289,0.9407,0.83534,0.95816,0.78296,0.85798,0.78947,0.88351,0.5679,0.64781,0.87778,0.76807,0.95131,0.0015644,0.0015644,0.0015644
24,101.052,0.72233,0.8046,0.72901,0.93111,0.77566,0.89474,0.94071,0.74531,0.77566,0.89474,0.94071,0.58394,0.69801,0.75746,0.81662,0.9903,0.0015446,0.0015446,0.0015446
25,106.097,0.71869,0.76651,0.70525,0.93344,0.99236,0.89474,0.92587,0.73827,0.99236,0.89474,0.92939,0.55548,0.79143,0.828,0.77198,1.01044,0.0015248,0.0015248,0.0015248
26,109.653,0.68359,0.74999,0.68951,0.92297,0.94682,0.93748,0.97891,0.79802,0.94682,0.93748,0.97891,0.59662,0.69615,0.82505,0.74518,0.96172,0.001505,0.001505,0.001505
27,113.2,0.71647,0.76095,0.68411,0.93113,0.90141,0.96291,0.96836,0.78354,0.90141,0.96291,0.96836,0.59416,0.7236,0.69658,0.70651,0.9626,0.0014852,0.0014852,0.0014852
28,116.886,0.67065,0.73828,0.6589,0.91364,0.97006,0.94737,0.983,0.81155,0.97006,0.94737,0.983,0.62041,0.6809,0.7025,0.66613,0.94661,0.0014654,0.0014654,0.0014654
29,121.584,0.64946,0.66747,0.62932,0.89975,0.89111,0.94737,0.98104,0.81833,0.89111,0.94737,0.98104,0.67013,0.68789,0.64634,0.6578,0.93928,0.0014456,0.0014456,0.0014456
30,124.821,0.65764,0.73052,0.62537,0.90448,0.94641,0.93017,0.97051,0.8096,0.9044,0.99603,0.98182,0.67821,0.58143,0.65573,0.6587,0.91409,0.0014258,0.0014258,0.0014258
31,127.936,0.64555,0.69541,0.61543,0.91089,0.94911,0.89474,0.98318,0.83389,0.94911,0.89474,0.98318,0.67789,0.59737,0.62578,0.62832,0.92008,0.001406,0.001406,0.001406
32,131.361,0.6593,0.73424,0.65943,0.92221,1,0.94014,0.99024,0.85138,1,0.94014,0.99024,0.66789,0.64114,0.64413,0.6009,0.95805,0.0013862,0.0013862,0.0013862
